original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
179202	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-11	Parts per billion	10.218182	37.4	7	35	Parts per million	0.035167	0.043	19	40	Parts per billion	0.339286	1.1	10	1.0	Parts per million	0.291856	1.1	7	6.0
179206	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-12	Parts per billion	7.747826	29.7	22	27	Parts per million	0.027417	0.041	10	38	Parts per billion	0.350974	0.8	23	0.0	Parts per million	0.1773549999999999	0.6	21	5.0
179210	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-13	Parts per billion	14.83913	30.8	6	28	Parts per million	0.024875	0.038	11	35	Parts per billion	1.0461035	2.6	10	3.0	Parts per million	0.4270835	1.3	6	9.0
179214	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-14	Parts per billion	8.717391	19.5	6	18	Parts per million	0.023	0.036	10	33	Parts per billion	0.5136365	0.8	18	0.0	Parts per million	0.268297	0.5	7	3.0
179218	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-15	Parts per billion	11.508333	22.6	3	21	Parts per million	0.020958	0.04	10	37	Parts per billion	0.94375	2.9	15	3.0	Parts per million	0.4125	0.9	6	7.0
179222	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-16	Parts per billion	7.225	19.4	2	18	Parts per million	0.0295	0.042	11	39	Parts per billion	0.60625	1.3	9	1.0	Parts per million	0.3416669999999999	0.9	7	7.0
179226	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-17	Parts per billion	5.018182	22.0	22	21	Parts per million	0.028708	0.041	8	38	Parts per billion	0.338095	0.5	20	0.0	Parts per million	0.2268939999999999	0.5	22	3.0
179230	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-18	Parts per billion	15.182609	33.9	22	31	Parts per million	0.020208	0.041	10	38	Parts per billion	0.8227275000000001	1.7	13	1.0	Parts per million	0.432065	1.2	7	8.0
179234	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-19	Parts per billion	16.817391	32.3	22	30	Parts per million	0.02	0.045	10	42	Parts per billion	0.8714285	3.3	9	4.0	Parts per million	0.5488225	1.3	6	10.0
179238	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-20	Parts per billion	12.404348	31.1	7	29	Parts per million	0.028792	0.041	11	38	Parts per billion	0.899351	2.0	7	3.0	Parts per million	0.5013585	1.4	7	10.0
179242	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-21	Parts per billion	5.382609	9.8	18	8	Parts per million	0.034875	0.038	9	35	Parts per billion	0.5181819999999999	0.7	4	0.0	Parts per million	0.302174	0.4	7	3.0
179246	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-22	Parts per billion	6.678261	19.0	6	18	Parts per million	0.031583	0.04	11	37	Parts per billion	0.558117	0.9	12	0.0	Parts per million	0.3340579999999999	0.7	6	5.0
179250	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-23	Parts per billion	4.378261	9.1	23	8	Parts per million	0.033125	0.043	11	40	Parts per billion	0.580844	1.0	13	1.0	Parts per million	0.3065215	0.4	17	3.0
179254	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-24	Parts per billion	8.552174	21.2	5	20	Parts per million	0.031083	0.042	12	39	Parts per billion	0.6902600000000001	1.2	11	1.0	Parts per million	0.4105075	1.0	5	7.0
179258	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-25	Parts per billion	5.556522	13.4	11	12	Parts per million	0.033625	0.038	12	35	Parts per billion	0.474026	0.8	10	0.0	Parts per million	0.297645	0.4	4	5.0
179262	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-26	Parts per billion	4.36087	16.2	7	15	Parts per million	0.037042	0.042	10	39	Parts per billion	0.315909	0.7	8	0.0	Parts per million	0.2339675	0.4	7	3.0
179266	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-27	Parts per billion	8.426087	30.6	5	28	Parts per million	0.032208	0.042	9	39	Parts per billion	0.574026	0.9	8	0.0	Parts per million	0.289402	0.6	6	5.0
179270	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-28	Parts per billion	7.043478	22.3	5	21	Parts per million	0.028292	0.035	10	32	Parts per billion	0.7962119999999999	3.9	7	4.0	Parts per million	0.251087	0.5	6	3.0
179274	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-29	Parts per billion	3.043478	6.3	9	6	Parts per million	0.03225	0.038	11	35	Parts per billion	0.4925325	1.2	0	1.0	Parts per million	0.2703805	0.3	6	3.0
179278	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-30	Parts per billion	3.217391	16.7	23	15	Parts per million	0.031125	0.041	11	38	Parts per billion	0.306818	0.4	5	0.0	Parts per million	0.268116	0.4	5	3.0
179282	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-03-31	Parts per billion	11.034783	24.6	1	23	Parts per million	0.034458	0.043	11	40	Parts per billion	0.6136365	1.5	22	1.0	Parts per million	0.380797	0.4	0	5.0
179286	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-04-01	Parts per billion	9.034783	19.3	6	18	Parts per million	0.034708	0.042	9	39	Parts per billion	0.7646105	1.8	13	1.0	Parts per million	0.3894019999999999	0.5	6	5.0
179290	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2014-04-02	Parts per billion	4.165217	8.2	7	8	Parts per million	0.034458	0.045	9	42	Parts per billion	0.4087659999999999	0.8	5	0.0	Parts per million	0.2677535	0.4	0	5.0
